ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   75.244   75.244 C:\Users\Admin\PycharmProjects\Disseration\project_testing.py:35(run_scan)
        1    0.010    0.010   75.020   75.020 C:\Users\Admin\PycharmProjects\Disseration\project_utils.py:828(full_scan)
      171    0.062    0.000   72.618    0.425 C:\Users\Admin\PycharmProjects\Disseration\project_utils.py:824(get_line)
      171    1.540    0.009   72.556    0.424 C:\Users\Admin\PycharmProjects\Disseration\project_utils.py:712(scan_line)
      171    0.429    0.003   69.107    0.404 C:\Users\Admin\PycharmProjects\Disseration\project_utils.py:687(total_strength_field)
      171    0.137    0.001   64.873    0.379 C:\Users\Admin\PycharmProjects\Disseration\project_utils.py:657(intersection_params)
      171    0.363    0.002   64.629    0.378 C:\Users\Admin\PycharmProjects\Disseration\project_utils.py:349(intersection_params)
      171    2.381    0.014   45.541    0.266 C:\Users\Admin\PycharmProjects\Disseration\project_utils.py:388(process_background)
      171   29.811    0.174   29.811    0.174 C:\Users\Admin\PycharmProjects\Disseration\project_utils.py:393(<listcomp>)
      171    0.810    0.005   17.818    0.104 C:\Users\Admin\PycharmProjects\Disseration\project_geometry.py:625(intersection_params)
      684    0.644    0.001   15.055    0.022 C:\Users\Admin\PycharmProjects\Disseration\project_geometry.py:1090(intersection_params)
      684    4.410    0.006   14.365    0.021 C:\Users\Admin\PycharmProjects\Disseration\project_geometry.py:1060(interfunction)
     2665   13.780    0.005   13.780    0.005 {built-in method numpy.array}
18267/13900    7.390    0.000   13.272    0.001 {built-in method numpy.core._multiarray_umath.implement_array_function}
     1280    0.004    0.000    6.153    0.005 <__array_function__ internals>:177(cross)
     1280    3.669    0.003    5.701    0.004 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\core\numeric.py:1486(cross)
     7287    0.017    0.000    4.235    0.001 <__array_function__ internals>:177(where)
      171    0.928    0.005    3.073    0.018 C:\Users\Admin\PycharmProjects\Disseration\project_utils.py:410(scatter_loss)
      171    0.072    0.000    2.372    0.014 C:\Users\Admin\PycharmProjects\Disseration\project_utils.py:761(advance_timestep)
      344    1.975    0.006    2.317    0.007 C:\Users\Admin\PycharmProjects\Disseration\project_utils.py:641(angles_to_vec)
     2985    0.010    0.000    2.298    0.001 <__array_function__ internals>:177(dot)
      171    0.001    0.000    2.296    0.013 C:\Users\Admin\PycharmProjects\Disseration\project_utils.py:777(rotate_ray)
      171    1.355    0.008    1.909    0.011 C:\Users\Admin\PycharmProjects\Disseration\project_utils.py:701(gather)
     2564    1.391    0.001    1.391    0.001 {method 'astype' of 'numpy.ndarray' objects}
      684    0.272    0.000    1.274    0.002 C:\Users\Admin\PycharmProjects\Disseration\project_geometry.py:650(collect_min)
      342    0.001    0.000    1.260    0.004 C:\Users\Admin\PycharmProjects\Disseration\project_geometry.py:117(SL)
      342    0.051    0.000    1.260    0.004 C:\Users\Admin\PycharmProjects\Disseration\project_geometry.py:108(monostatic)
      342    1.161    0.003    1.209    0.004 C:\Users\Admin\PycharmProjects\Disseration\project_geometry.py:357(lambertian_bistatic)
      171    0.156    0.001    0.732    0.004 C:\Users\Admin\PycharmProjects\Disseration\project_utils.py:225(TL)
      171    0.469    0.003    0.469    0.003 C:\Users\Admin\PycharmProjects\Disseration\project_utils.py:221(spherical_loss_dB)
      171    0.043    0.000    0.425    0.002 C:\Users\Admin\PycharmProjects\Disseration\project_geometry.py:656(gen_incident)
       83    0.316    0.004    0.375    0.005 C:\Users\Admin\PycharmProjects\Disseration\project_geometry.py:1112(gen_incident)
      171    0.197    0.001    0.344    0.002 C:\Users\Admin\PycharmProjects\Disseration\project_geometry.py:764(intersection_params)
      772    0.004    0.000    0.339    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\core\numeric.py:290(full)
      171    0.333    0.002    0.333    0.002 C:\Users\Admin\PycharmProjects\Disseration\project_geometry.py:773(gen_incident)
